id,neighbourhood_group,latitude,longitude,room_type,price
2539,Brooklyn,40.64749,-73.97237,Private room,149
2595,Manhattan,40.75362,-73.98377,Entire home/apt,225
3647,Manhattan,40.80902,-73.9419,Private room,150
3831,Brooklyn,40.68514,-73.95976,Entire home/apt,89
5022,Manhattan,40.79851,-73.94399,Entire home/apt,80
5099,Manhattan,40.74767,-73.975,Entire home/apt,200
5121,Brooklyn,40.68688,-73.95596,Private room,60
5178,Manhattan,40.76489,-73.98493,Private room,79
5203,Manhattan,40.80178,-73.96723,Private room,79
5238,Manhattan,40.71344,-73.99037,Entire home/apt,150
5295,Manhattan,40.80316,-73.96545,Entire home/apt,135
5441,Manhattan,40.76076,-73.98867,Private room,85
5803,Brooklyn,40.66829,-73.98779,Private room,89
6021,Manhattan,40.79826,-73.96113,Private room,85
6090,Manhattan,40.7353,-74.00525,Entire home/apt,120
6848,Brooklyn,40.70837,-73.95352,Entire home/apt,140
7097,Brooklyn,40.69169,-73.97185,Entire home/apt,215
7322,Manhattan,40.74192,-73.99501,Private room,140
7726,Brooklyn,40.67592,-73.94694,Entire home/apt,99
7750,Manhattan,40.79685,-73.94872,Entire home/apt,190
7801,Brooklyn,40.71842,-73.95718,Entire home/apt,299
8024,Brooklyn,40.68069,-73.97706,Private room,130
8025,Brooklyn,40.67989,-73.97798,Private room,80
8110,Brooklyn,40.68001,-73.97865,Private room,110
8490,Brooklyn,40.68371,-73.94028,Entire home/apt,120
8505,Brooklyn,40.65599,-73.97519,Private room,60
8700,Manhattan,40.86754,-73.92639,Private room,80
9357,Manhattan,40.76715,-73.98533,Entire home/apt,150
9518,Manhattan,40.86482,-73.92106,Private room,44
9657,Manhattan,40.7292,-73.98542,Entire home/apt,180
9668,Manhattan,40.82245,-73.95104,Private room,50
9704,Manhattan,40.81305,-73.95466,Private room,52
9782,Brooklyn,40.72219,-73.93762,Private room,55
9783,Manhattan,40.8213,-73.95318,Private room,50
10452,Brooklyn,40.6831,-73.95473,Private room,70
10962,Brooklyn,40.66869,-73.9878,Private room,89
11452,Brooklyn,40.68876,-73.94312,Private room,35
11708,Brooklyn,40.70186,-73.92745,Entire home/apt,85
11943,Brooklyn,40.63702,-73.96327,Private room,150
12048,Manhattan,40.71401,-73.98917,Shared room,40
12192,Manhattan,40.7229,-73.98199,Private room,68
12299,Brooklyn,40.66278,-73.97966,Entire home/apt,120
12303,Brooklyn,40.69673,-73.97584,Private room,120
12318,Manhattan,40.79009,-73.97927,Private room,135
12343,Manhattan,40.81175,-73.94478,Entire home/apt,150
12627,Brooklyn,40.65944,-73.96238,Entire home/apt,150
12937,Queens,40.74771,-73.9474,Private room,130
12940,Brooklyn,40.68111,-73.95591,Entire home/apt,110
13050,Brooklyn,40.68554,-73.9409,Entire home/apt,115
13394,Brooklyn,40.69142,-73.97376,Private room,80
13808,Brooklyn,40.68043,-73.93934,Private room,80
14287,Manhattan,40.78635,-73.97008,Entire home/apt,151
14290,Brooklyn,40.7042,-73.9356,Entire home/apt,228
14314,Brooklyn,40.73506,-73.95392,Entire home/apt,144
14322,Manhattan,40.73961,-73.98074,Entire home/apt,200
14377,Brooklyn,40.70881,-73.9593,Entire home/apt,150
14991,Manhattan,40.72004,-73.99104,Private room,110
15220,Manhattan,40.75531,-73.99293,Private room,69
15338,Brooklyn,40.72401,-73.93788,Private room,49
15341,Manhattan,40.7221,-73.99775,Entire home/apt,180
15385,Brooklyn,40.71185,-73.96204,Private room,80
15396,Manhattan,40.74623,-73.9953,Entire home/apt,375
15711,Manhattan,40.77065,-73.95269,Entire home/apt,250
16326,Brooklyn,40.67811,-73.96428,Entire home/apt,200
16338,Brooklyn,40.69,-73.96788,Private room,55
16421,Manhattan,40.75979,-73.99119,Private room,52
16458,Brooklyn,40.67343,-73.98338,Entire home/apt,225
16580,Manhattan,40.72649,-73.97904,Private room,80
16595,Brooklyn,40.70933,-73.96792,Entire home/apt,275
16821,Manhattan,40.72298,-73.98474,Private room,99
16974,Manhattan,40.80164,-73.93922,Entire home/apt,225
17037,Manhattan,40.72162,-73.98008,Entire home/apt,230
17092,Manhattan,40.76342,-73.98865,Private room,51
17693,Manhattan,40.83139,-73.94095,Private room,65
17747,Brooklyn,40.68346,-73.96374,Private room,105
18127,Manhattan,40.72828,-73.98801,Entire home/apt,190
18152,Manhattan,40.76865,-73.95058,Private room,200
18198,Queens,40.75038,-73.90334,Private room,70
18590,Brooklyn,40.6932,-73.97267,Private room,95
18728,Manhattan,40.74138,-74.00197,Private room,150
18764,Brooklyn,40.71154,-73.96112,Private room,145
19159,Manhattan,40.82915,-73.95136,Entire home/apt,110
19169,Manhattan,40.71851,-73.98892,Entire home/apt,285
19282,Brooklyn,40.65401,-73.96323,Entire home/apt,130
19319,Manhattan,40.7114,-73.98794,Private room,94
19601,Brooklyn,40.69723,-73.99268,Entire home/apt,800
19812,Brooklyn,40.71833,-73.95748,Entire home/apt,105
20299,Manhattan,40.72334,-73.9844,Private room,60
20300,Manhattan,40.72912,-73.98057,Private room,50
20611,Brooklyn,40.71156,-73.96218,Private room,85
20724,Brooklyn,40.70032,-73.9383,Private room,65
20734,Brooklyn,40.68233,-73.97261,Entire home/apt,131
20755,Brooklyn,40.68634,-73.966,Private room,98
20853,Brooklyn,40.68035,-73.97162,Entire home/apt,250
20913,Brooklyn,40.70984,-73.95775,Entire home/apt,100
21293,Brooklyn,40.70093,-73.92609,Entire home/apt,105
21456,Manhattan,40.79764,-73.96177,Entire home/apt,140
21644,Manhattan,40.82803,-73.94731,Private room,89
21794,Manhattan,40.74008,-74.00271,Private room,98
22911,Brooklyn,40.68413,-73.92357,Entire home/apt,125
22918,Manhattan,40.82279,-73.95139,Private room,60
23135,Brooklyn,40.67967,-74.00154,Entire home/apt,175
23501,Manhattan,40.83927,-73.94281,Private room,65
23686,Manhattan,40.73096,-74.00319,Entire home/apt,500
24143,Brooklyn,40.71332,-73.94177,Private room,101
24285,Brooklyn,40.66941,-73.98109,Entire home/apt,220
25235,Brooklyn,40.68373,-73.92377,Entire home/apt,125
25406,Brooklyn,40.71459,-73.94844,Entire home/apt,80
25696,Manhattan,40.8092,-73.94421,Private room,100
26012,Brooklyn,40.68157,-73.98989,Entire home/apt,200
26362,Manhattan,40.75527,-73.99291,Private room,59
26520,Brooklyn,40.68698,-73.96572,Private room,125
26559,Manhattan,40.7288,-73.98192,Entire home/apt,140
26785,Brooklyn,40.66853,-73.98912,Entire home/apt,120
26933,Manhattan,40.7254,-73.98157,Entire home/apt,350
26954,Manhattan,40.74294,-73.98009,Entire home/apt,199
26969,Brooklyn,40.71942,-73.95748,Entire home/apt,325
27006,Manhattan,40.77823,-73.97637,Entire home/apt,235
27385,Manhattan,40.72555,-73.97965,Entire home/apt,225
